row_index,column,original_value,injected_value,error_type,error_family,noise_level
97010,country,FRA,unknown,missing_unknown_string,missing_values,high
46443,country,PRT,unknown,missing_unknown_string,missing_values,high
95424,country,PRT,,missing_empty_string,missing_values,high
82915,country,PRT,N/A,missing_N/A_string,missing_values,high
85547,country,DEU,N/A,missing_N/A_string,missing_values,high
16685,country,ESP,NA,missing_NA_string,missing_values,high
101679,country,SWE,NA,missing_NA_string,missing_values,high
36728,country,CN,,missing_empty_string,missing_values,high
84732,country,MAR,NA,missing_NA_string,missing_values,high
79871,country,PRT,,missing_empty_string,missing_values,high
60700,country,LUX,,missing_empty_string,missing_values,high
108119,country,FRA,,missing_empty_string,missing_values,high
96757,country,GBR,NA,missing_NA_string,missing_values,high
56194,country,PRT,N/A,missing_N/A_string,missing_values,high
56937,country,GBR,NA,missing_NA_string,missing_values,high
27275,country,ESP,,missing_nan,missing_values,high
75326,country,PRT,unknown,missing_unknown_string,missing_values,high
39019,country,CHE,NA,missing_NA_string,missing_values,high
79612,country,PRT,N/A,missing_N/A_string,missing_values,high
7550,country,PRT,N/A,missing_N/A_string,missing_values,high
68425,country,PRT,N/A,missing_N/A_string,missing_values,high
99374,country,FRA,NA,missing_NA_string,missing_values,high
71460,country,PRT,unknown,missing_unknown_string,missing_values,high
43757,country,FRA, ,missing_whitespace,missing_values,high
37474,country,ESP, ,missing_whitespace,missing_values,high
76199,country,PRT,NA,missing_NA_string,missing_values,high
33348,country,GBR,NA,missing_NA_string,missing_values,high
94828,country,FIN,,missing_nan,missing_values,high
18225,country,PRT,NA,missing_NA_string,missing_values,high
84549,country,ITA, ,missing_whitespace,missing_values,high
107472,country,FRA,,missing_empty_string,missing_values,high
90926,country,DEU, ,missing_whitespace,missing_values,high
69947,country,PRT,unknown,missing_unknown_string,missing_values,high
91203,country,PRT,N/A,missing_N/A_string,missing_values,high
66769,country,CHN,N/A,missing_N/A_string,missing_values,high
102921,country,GBR,unknown,missing_unknown_string,missing_values,high
70853,country,PRT,,missing_nan,missing_values,high
107659,country,FRA,,missing_nan,missing_values,high
116563,country,NLD,,missing_empty_string,missing_values,high
55021,country,PRT,unknown,missing_unknown_string,missing_values,high
104598,country,ESP,NA,missing_NA_string,missing_values,high
97673,country,GBR,,missing_empty_string,missing_values,high
63790,country,KOR,,missing_nan,missing_values,high
103347,country,USA,NA,missing_NA_string,missing_values,high
