row_index,column,original_value,injected_value,error_type,error_family,noise_level
102092,country,NLD,unknown,missing_unknown_string,missing_values,low
9003,country,PRT,,missing_empty_string,missing_values,low
102084,country,FRA,,missing_empty_string,missing_values,low
99183,country,FRA,unknown,missing_unknown_string,missing_values,low
74797,country,PRT,,missing_empty_string,missing_values,low
79454,country,PRT,NA,missing_NA_string,missing_values,low
110362,country,GBR,unknown,missing_unknown_string,missing_values,low
38242,country,ESP,N/A,missing_N/A_string,missing_values,low
79808,country,PRT, ,missing_whitespace,missing_values,low
97527,country,ITA,,missing_nan,missing_values,low
92601,country,ESP,,missing_empty_string,missing_values,low
28532,country,CN, ,missing_whitespace,missing_values,low
87473,country,PRT,N/A,missing_N/A_string,missing_values,low
17782,country,PRT,,missing_empty_string,missing_values,low
48869,country,SWE,,missing_empty_string,missing_values,low
30196,country,PRT,NA,missing_NA_string,missing_values,low
90508,country,DEU,N/A,missing_N/A_string,missing_values,low
92264,country,PRT,,missing_empty_string,missing_values,low
48729,country,RUS,N/A,missing_N/A_string,missing_values,low
19657,country,FRA,NA,missing_NA_string,missing_values,low
7902,country,PRT,N/A,missing_N/A_string,missing_values,low
54168,country,PRT,,missing_nan,missing_values,low
19443,country,PRT,N/A,missing_N/A_string,missing_values,low
40085,country,PRT, ,missing_whitespace,missing_values,low
81613,country,PRT,,missing_nan,missing_values,low
51823,country,PRT,,missing_empty_string,missing_values,low
48020,country,FRA,unknown,missing_unknown_string,missing_values,low
82562,country,ESP,N/A,missing_N/A_string,missing_values,low
108748,country,FRA,unknown,missing_unknown_string,missing_values,low
60482,country,ESP,N/A,missing_N/A_string,missing_values,low
50969,country,BEL,unknown,missing_unknown_string,missing_values,low
73960,country,PRT,N/A,missing_N/A_string,missing_values,low
35625,country,SWE,,missing_nan,missing_values,low
102193,country,CYP,unknown,missing_unknown_string,missing_values,low
47418,country,HRV,NA,missing_NA_string,missing_values,low
73088,country,RUS,,missing_nan,missing_values,low
4315,country,PRT,NA,missing_NA_string,missing_values,low
89713,country,GBR,NA,missing_NA_string,missing_values,low
9849,country,GBR,,missing_nan,missing_values,low
67220,country,PRT, ,missing_whitespace,missing_values,low
85137,country,NLD,,missing_empty_string,missing_values,low
95838,country,PRT,,missing_empty_string,missing_values,low
61160,country,CPV,NA,missing_NA_string,missing_values,low
15355,country,CN,unknown,missing_unknown_string,missing_values,low
3487,country,PRT,unknown,missing_unknown_string,missing_values,low
8579,country,GBR,unknown,missing_unknown_string,missing_values,low
10159,country,GBR,,missing_empty_string,missing_values,low
114677,country,PRT, ,missing_whitespace,missing_values,low
7099,country,ARG,unknown,missing_unknown_string,missing_values,low
8261,country,PRT,NA,missing_NA_string,missing_values,low
44076,country,CN,N/A,missing_N/A_string,missing_values,low
13916,country,PRT,,missing_nan,missing_values,low
21712,country,ITA,unknown,missing_unknown_string,missing_values,low
10427,country,PRT, ,missing_whitespace,missing_values,low
15429,country,ESP,NA,missing_NA_string,missing_values,low
24536,country,GBR,N/A,missing_N/A_string,missing_values,low
33713,country,PRT,NA,missing_NA_string,missing_values,low
19597,country,GBR,,missing_nan,missing_values,low
117425,country,FRA,N/A,missing_N/A_string,missing_values,low
38487,country,PRT,unknown,missing_unknown_string,missing_values,low
95710,country,ESP, ,missing_whitespace,missing_values,low
106821,country,PRT, ,missing_whitespace,missing_values,low
78562,country,PRT,NA,missing_NA_string,missing_values,low
104620,country,GBR, ,missing_whitespace,missing_values,low
19653,country,ESP,N/A,missing_N/A_string,missing_values,low
112670,country,DEU,N/A,missing_N/A_string,missing_values,low
30488,country,GBR,N/A,missing_N/A_string,missing_values,low
16341,country,USA, ,missing_whitespace,missing_values,low
14889,country,BEL,unknown,missing_unknown_string,missing_values,low
67048,country,PRT,,missing_nan,missing_values,low
112559,country,DEU,,missing_nan,missing_values,low
40507,country,PRT,NA,missing_NA_string,missing_values,low
6737,country,PRT,N/A,missing_N/A_string,missing_values,low
94068,country,CHE,unknown,missing_unknown_string,missing_values,low
97017,country,CHN,NA,missing_NA_string,missing_values,low
102912,country,FRA,N/A,missing_N/A_string,missing_values,low
2005,country,CN, ,missing_whitespace,missing_values,low
23355,country,ESP,NA,missing_NA_string,missing_values,low
35977,country,GBR,NA,missing_NA_string,missing_values,low
74219,country,PRT,N/A,missing_N/A_string,missing_values,low
7086,country,PRT,NA,missing_NA_string,missing_values,low
52096,country,PRT, ,missing_whitespace,missing_values,low
14267,country,PRT, ,missing_whitespace,missing_values,low
55180,country,FRA,N/A,missing_N/A_string,missing_values,low
11917,country,IRL,NA,missing_NA_string,missing_values,low
61611,country,GLP,N/A,missing_N/A_string,missing_values,low
107553,country,IRL,,missing_empty_string,missing_values,low
86226,country,PRT,NA,missing_NA_string,missing_values,low
43064,country,PRT,,missing_empty_string,missing_values,low
73660,country,JPN,,missing_nan,missing_values,low
12508,country,GBR,,missing_nan,missing_values,low
82291,country,PRT,N/A,missing_N/A_string,missing_values,low
51293,country,NLD,,missing_nan,missing_values,low
111094,country,AUT,N/A,missing_N/A_string,missing_values,low
39453,country,USA,NA,missing_NA_string,missing_values,low
3150,country,ESP,NA,missing_NA_string,missing_values,low
47247,country,PRT,unknown,missing_unknown_string,missing_values,low
26745,country,PRT,N/A,missing_N/A_string,missing_values,low
92208,country,PRT,unknown,missing_unknown_string,missing_values,low
28478,country,ESP,unknown,missing_unknown_string,missing_values,low
92617,country,PRT,,missing_nan,missing_values,low
90325,country,AUS,,missing_empty_string,missing_values,low
47470,country,ITA,N/A,missing_N/A_string,missing_values,low
61583,country,PRT, ,missing_whitespace,missing_values,low
63480,country,PRT,,missing_nan,missing_values,low
25028,country,HUN,,missing_nan,missing_values,low
34536,country,IRL, ,missing_whitespace,missing_values,low
102668,country,PRT, ,missing_whitespace,missing_values,low
85172,country,FRA,,missing_empty_string,missing_values,low
86483,country,FRA,NA,missing_NA_string,missing_values,low
25883,country,PRT,N/A,missing_N/A_string,missing_values,low
100458,country,CHE,,missing_empty_string,missing_values,low
60833,country,PRT,,missing_empty_string,missing_values,low
29863,country,GBR,NA,missing_NA_string,missing_values,low
62465,country,PRT,N/A,missing_N/A_string,missing_values,low
86909,country,FRA,,missing_empty_string,missing_values,low
116259,country,CN,NA,missing_NA_string,missing_values,low
5898,country,DEU,,missing_empty_string,missing_values,low
100543,country,FRA,unknown,missing_unknown_string,missing_values,low
109570,country,BEL,,missing_nan,missing_values,low
48269,country,PRT,,missing_empty_string,missing_values,low
45959,country,PRT,,missing_empty_string,missing_values,low
97525,country,ITA, ,missing_whitespace,missing_values,low
3581,country,PRT, ,missing_whitespace,missing_values,low
86998,country,GBR,N/A,missing_N/A_string,missing_values,low
100295,country,GBR,,missing_nan,missing_values,low
94864,country,ITA,unknown,missing_unknown_string,missing_values,low
40378,country,PRT,NA,missing_NA_string,missing_values,low
52457,country,DNK, ,missing_whitespace,missing_values,low
6400,country,PRT,NA,missing_NA_string,missing_values,low
54996,country,PRT, ,missing_whitespace,missing_values,low
57460,country,PRT,unknown,missing_unknown_string,missing_values,low
70195,country,PRT,,missing_empty_string,missing_values,low
65336,country,POL,unknown,missing_unknown_string,missing_values,low
37127,country,ROU,,missing_empty_string,missing_values,low
82543,country,ESP,NA,missing_NA_string,missing_values,low
106423,country,BGR,,missing_empty_string,missing_values,low
25526,country,POL,unknown,missing_unknown_string,missing_values,low
52809,country,PRT,,missing_empty_string,missing_values,low
2835,country,PRT,N/A,missing_N/A_string,missing_values,low
109915,country,CN,N/A,missing_N/A_string,missing_values,low
96192,country,ESP,unknown,missing_unknown_string,missing_values,low
108397,country,BEL, ,missing_whitespace,missing_values,low
76352,country,PRT,,missing_nan,missing_values,low
34106,country,GBR, ,missing_whitespace,missing_values,low
70310,country,PRT,,missing_nan,missing_values,low
27295,country,ESP,N/A,missing_N/A_string,missing_values,low
39060,country,GBR,NA,missing_NA_string,missing_values,low
24058,country,POL,N/A,missing_N/A_string,missing_values,low
89310,country,DEU,unknown,missing_unknown_string,missing_values,low
28932,country,PRT, ,missing_whitespace,missing_values,low
34941,country,ESP,NA,missing_NA_string,missing_values,low
90445,country,USA, ,missing_whitespace,missing_values,low
102456,country,FRA,,missing_empty_string,missing_values,low
55668,country,ISR,,missing_empty_string,missing_values,low
113643,country,DEU,NA,missing_NA_string,missing_values,low
70746,country,PRT,N/A,missing_N/A_string,missing_values,low
118814,country,GBR,unknown,missing_unknown_string,missing_values,low
69655,country,AUT,unknown,missing_unknown_string,missing_values,low
91359,country,GBR,,missing_empty_string,missing_values,low
59906,country,PRT,,missing_empty_string,missing_values,low
32941,country,IRL, ,missing_whitespace,missing_values,low
11286,country,PRT,NA,missing_NA_string,missing_values,low
101538,country,FRA,,missing_empty_string,missing_values,low
71389,country,GBR, ,missing_whitespace,missing_values,low
47825,country,SVN,NA,missing_NA_string,missing_values,low
69282,country,PRT, ,missing_whitespace,missing_values,low
10879,country,PRT, ,missing_whitespace,missing_values,low
25759,country,PRT, ,missing_whitespace,missing_values,low
114428,country,ISR,N/A,missing_N/A_string,missing_values,low
8238,country,PRT,unknown,missing_unknown_string,missing_values,low
54967,country,DEU, ,missing_whitespace,missing_values,low
76466,country,PRT,,missing_empty_string,missing_values,low
74023,country,PRT,,missing_nan,missing_values,low
41237,country,PRT,,missing_empty_string,missing_values,low
40832,country,ITA,N/A,missing_N/A_string,missing_values,low
45498,country,PRT,N/A,missing_N/A_string,missing_values,low
114152,country,GBR,,missing_nan,missing_values,low
18181,country,NLD,N/A,missing_N/A_string,missing_values,low
106461,country,PRT,,missing_empty_string,missing_values,low
94438,country,NLD,N/A,missing_N/A_string,missing_values,low
83726,country,PRT,N/A,missing_N/A_string,missing_values,low
923,country,PRT,N/A,missing_N/A_string,missing_values,low
111425,country,ESP,NA,missing_NA_string,missing_values,low
52637,country,BEL,NA,missing_NA_string,missing_values,low
92242,country,NLD,unknown,missing_unknown_string,missing_values,low
39085,country,ISL,unknown,missing_unknown_string,missing_values,low
21868,country,GBR,unknown,missing_unknown_string,missing_values,low
92421,country,SWE,NA,missing_NA_string,missing_values,low
60677,country,PRT,NA,missing_NA_string,missing_values,low
29344,country,PRT,,missing_empty_string,missing_values,low
78645,country,PRT,N/A,missing_N/A_string,missing_values,low
33582,country,PRT,,missing_nan,missing_values,low
117720,country,AUT,NA,missing_NA_string,missing_values,low
89821,country,USA,,missing_empty_string,missing_values,low
28621,country,DEU,N/A,missing_N/A_string,missing_values,low
92593,country,GBR, ,missing_whitespace,missing_values,low
105932,country,GBR, ,missing_whitespace,missing_values,low
111484,country,FRA,NA,missing_NA_string,missing_values,low
91286,country,CHE,,missing_nan,missing_values,low
96535,country,DEU,,missing_empty_string,missing_values,low
45836,country,FRA,,missing_nan,missing_values,low
99503,country,PRT,unknown,missing_unknown_string,missing_values,low
67594,country,IRL, ,missing_whitespace,missing_values,low
58603,country,PRT,N/A,missing_N/A_string,missing_values,low
58619,country,PRT,,missing_empty_string,missing_values,low
78006,country,PRT,,missing_nan,missing_values,low
58342,country,FRA, ,missing_whitespace,missing_values,low
35812,country,PRT,,missing_empty_string,missing_values,low
27651,country,PRT,,missing_nan,missing_values,low
114486,country,DEU,,missing_empty_string,missing_values,low
13672,country,PRT,,missing_empty_string,missing_values,low
49148,country,FRA,N/A,missing_N/A_string,missing_values,low
33397,country,PRT, ,missing_whitespace,missing_values,low
72045,country,PRT,,missing_empty_string,missing_values,low
86943,country,FRA,unknown,missing_unknown_string,missing_values,low
18708,country,ESP,,missing_nan,missing_values,low
95200,country,CHN,,missing_nan,missing_values,low
5374,country,PRT,,missing_nan,missing_values,low
86415,country,AUT, ,missing_whitespace,missing_values,low
114235,country,FRA,N/A,missing_N/A_string,missing_values,low
61201,country,ESP,unknown,missing_unknown_string,missing_values,low
21733,country,PRT,,missing_nan,missing_values,low
101723,country,PRT,,missing_nan,missing_values,low
6580,country,PRT, ,missing_whitespace,missing_values,low
51197,country,DEU,,missing_nan,missing_values,low
113161,country,ESP,,missing_nan,missing_values,low
84518,country,HRV,N/A,missing_N/A_string,missing_values,low
12293,country,PRT,N/A,missing_N/A_string,missing_values,low
108903,country,FRA,,missing_empty_string,missing_values,low
18453,country,PRT,NA,missing_NA_string,missing_values,low
90609,country,TUR,unknown,missing_unknown_string,missing_values,low
14129,country,,NA,missing_NA_string,missing_values,low
14887,country,BEL,NA,missing_NA_string,missing_values,low
69920,country,PRT,,missing_nan,missing_values,low
88190,country,POL,NA,missing_NA_string,missing_values,low
62394,country,GBR,unknown,missing_unknown_string,missing_values,low
71823,country,PRT,N/A,missing_N/A_string,missing_values,low
11484,country,IRL, ,missing_whitespace,missing_values,low
35487,country,ITA,,missing_nan,missing_values,low
117837,country,BEL,,missing_nan,missing_values,low
100665,country,FRA,N/A,missing_N/A_string,missing_values,low
99603,country,DEU,,missing_empty_string,missing_values,low
5864,country,PRT,N/A,missing_N/A_string,missing_values,low
60699,country,LUX, ,missing_whitespace,missing_values,low
26421,country,ESP,NA,missing_NA_string,missing_values,low
8411,country,PRT,N/A,missing_N/A_string,missing_values,low
117740,country,FRA,unknown,missing_unknown_string,missing_values,low
28801,country,IRL,,missing_nan,missing_values,low
98765,country,USA, ,missing_whitespace,missing_values,low
71287,country,PRT,,missing_empty_string,missing_values,low
106473,country,PRT,unknown,missing_unknown_string,missing_values,low
45580,country,FRA,N/A,missing_N/A_string,missing_values,low
24481,country,POL,,missing_nan,missing_values,low
18660,country,PRT,unknown,missing_unknown_string,missing_values,low
90867,country,PRT,,missing_empty_string,missing_values,low
50310,country,GBR,N/A,missing_N/A_string,missing_values,low
74195,country,PRT, ,missing_whitespace,missing_values,low
91301,country,PRT, ,missing_whitespace,missing_values,low
18796,country,PRT, ,missing_whitespace,missing_values,low
9872,country,BRA,NA,missing_NA_string,missing_values,low
4076,country,PRT,N/A,missing_N/A_string,missing_values,low
29694,country,PRT,,missing_empty_string,missing_values,low
46335,country,PRT, ,missing_whitespace,missing_values,low
73362,country,USA,NA,missing_NA_string,missing_values,low
98277,country,ITA,unknown,missing_unknown_string,missing_values,low
46763,country,TUR,NA,missing_NA_string,missing_values,low
26081,country,ESP,unknown,missing_unknown_string,missing_values,low
107947,country,USA,,missing_empty_string,missing_values,low
46669,country,ESP,unknown,missing_unknown_string,missing_values,low
59598,country,FRA,,missing_nan,missing_values,low
109557,country,BEL,,missing_nan,missing_values,low
2740,country,PRT,NA,missing_NA_string,missing_values,low
15675,country,BEL,NA,missing_NA_string,missing_values,low
31997,country,GBR,unknown,missing_unknown_string,missing_values,low
29570,country,FRA,NA,missing_NA_string,missing_values,low
13763,country,PRT,,missing_nan,missing_values,low
31823,country,ESP,,missing_empty_string,missing_values,low
69810,country,PRT,NA,missing_NA_string,missing_values,low
30883,country,ESP,N/A,missing_N/A_string,missing_values,low
73879,country,PRT,N/A,missing_N/A_string,missing_values,low
93188,country,PRT,,missing_empty_string,missing_values,low
62556,country,FRA,N/A,missing_N/A_string,missing_values,low
105366,country,CHN,N/A,missing_N/A_string,missing_values,low
24583,country,DEU,unknown,missing_unknown_string,missing_values,low
92418,country,GBR,N/A,missing_N/A_string,missing_values,low
22317,country,ESP,unknown,missing_unknown_string,missing_values,low
33601,country,PRT,,missing_empty_string,missing_values,low
27629,country,PRT,unknown,missing_unknown_string,missing_values,low
53849,country,ESP,,missing_nan,missing_values,low
46849,country,CZE,,missing_nan,missing_values,low
21522,country,GBR, ,missing_whitespace,missing_values,low
20173,country,PRT,NA,missing_NA_string,missing_values,low
23285,country,ARG,N/A,missing_N/A_string,missing_values,low
15211,country,PRT,N/A,missing_N/A_string,missing_values,low
54364,country,PRT,unknown,missing_unknown_string,missing_values,low
48073,country,PRT,,missing_empty_string,missing_values,low
11353,country,IRL,,missing_empty_string,missing_values,low
112567,country,IRL,,missing_nan,missing_values,low
87612,country,ESP, ,missing_whitespace,missing_values,low
10098,country,PRT,,missing_empty_string,missing_values,low
84739,country,MOZ,N/A,missing_N/A_string,missing_values,low
115298,country,PRT,NA,missing_NA_string,missing_values,low
28549,country,PRT,,missing_nan,missing_values,low
8305,country,CN,NA,missing_NA_string,missing_values,low
107214,country,FRA,,missing_nan,missing_values,low
28231,country,GBR,,missing_empty_string,missing_values,low
46836,country,BRA,,missing_nan,missing_values,low
75778,country,PRT,unknown,missing_unknown_string,missing_values,low
47822,country,BRA,N/A,missing_N/A_string,missing_values,low
19137,country,PRT, ,missing_whitespace,missing_values,low
114145,country,DEU,NA,missing_NA_string,missing_values,low
118956,country,DEU,,missing_empty_string,missing_values,low
80171,country,PRT,N/A,missing_N/A_string,missing_values,low
85764,country,PRT, ,missing_whitespace,missing_values,low
74581,country,PRT,N/A,missing_N/A_string,missing_values,low
61132,country,NLD,,missing_nan,missing_values,low
100079,country,FRA,,missing_empty_string,missing_values,low
86057,country,ESP, ,missing_whitespace,missing_values,low
55674,country,ITA,N/A,missing_N/A_string,missing_values,low
50550,country,PRT, ,missing_whitespace,missing_values,low
47619,country,PRT,N/A,missing_N/A_string,missing_values,low
65541,country,GBR,,missing_nan,missing_values,low
22703,country,PRT, ,missing_whitespace,missing_values,low
20068,country,PRT,unknown,missing_unknown_string,missing_values,low
21930,country,PRT,unknown,missing_unknown_string,missing_values,low
27474,country,BRA, ,missing_whitespace,missing_values,low
43149,country,DEU,,missing_empty_string,missing_values,low
18144,country,ESP, ,missing_whitespace,missing_values,low
86764,country,USA,,missing_empty_string,missing_values,low
39299,country,FRA, ,missing_whitespace,missing_values,low
45902,country,PRT,,missing_empty_string,missing_values,low
16298,country,PRT,N/A,missing_N/A_string,missing_values,low
10341,country,PRT,unknown,missing_unknown_string,missing_values,low
89154,country,GBR,,missing_nan,missing_values,low
94070,country,DEU,,missing_nan,missing_values,low
84655,country,ESP, ,missing_whitespace,missing_values,low
60270,country,PRT,,missing_nan,missing_values,low
104249,country,GBR,N/A,missing_N/A_string,missing_values,low
24158,country,AUT, ,missing_whitespace,missing_values,low
24256,country,GBR,N/A,missing_N/A_string,missing_values,low
4488,country,PRT,NA,missing_NA_string,missing_values,low
102557,country,PRT,NA,missing_NA_string,missing_values,low
115465,country,PRT,N/A,missing_N/A_string,missing_values,low
42221,country,PRT,N/A,missing_N/A_string,missing_values,low
66343,country,CHE,N/A,missing_N/A_string,missing_values,low
66441,country,PRT,,missing_nan,missing_values,low
500,country,DEU,N/A,missing_N/A_string,missing_values,low
78591,country,PRT,unknown,missing_unknown_string,missing_values,low
24750,country,GBR,unknown,missing_unknown_string,missing_values,low
97697,country,ITA,,missing_nan,missing_values,low
97009,country,FRA,unknown,missing_unknown_string,missing_values,low
85713,country,PRT,unknown,missing_unknown_string,missing_values,low
43946,country,PRT,,missing_empty_string,missing_values,low
67238,country,RUS, ,missing_whitespace,missing_values,low
89661,country,USA,N/A,missing_N/A_string,missing_values,low
70663,country,IRL,NA,missing_NA_string,missing_values,low
90121,country,FRA,unknown,missing_unknown_string,missing_values,low
90101,country,PRT,N/A,missing_N/A_string,missing_values,low
29394,country,PRT,N/A,missing_N/A_string,missing_values,low
81264,country,ESP,,missing_empty_string,missing_values,low
50245,country,PRT, ,missing_whitespace,missing_values,low
114545,country,AUS, ,missing_whitespace,missing_values,low
49949,country,PRT,,missing_nan,missing_values,low
621,country,PRT,unknown,missing_unknown_string,missing_values,low
30739,country,FRA,,missing_nan,missing_values,low
65251,country,PRT,NA,missing_NA_string,missing_values,low
112054,country,PRT, ,missing_whitespace,missing_values,low
39758,country,IRL,,missing_empty_string,missing_values,low
32089,country,FRA,NA,missing_NA_string,missing_values,low
111571,country,FRA,,missing_empty_string,missing_values,low
27332,country,ESP,unknown,missing_unknown_string,missing_values,low
48827,country,IRN,NA,missing_NA_string,missing_values,low
94628,country,GBR,N/A,missing_N/A_string,missing_values,low
116093,country,DEU, ,missing_whitespace,missing_values,low
78739,country,ISR,N/A,missing_N/A_string,missing_values,low
34788,country,PRT,unknown,missing_unknown_string,missing_values,low
16272,country,PRT,,missing_nan,missing_values,low
89395,country,PRT,,missing_empty_string,missing_values,low
106113,country,DEU, ,missing_whitespace,missing_values,low
107050,country,TUR, ,missing_whitespace,missing_values,low
30757,country,PRT,N/A,missing_N/A_string,missing_values,low
113766,country,DEU,NA,missing_NA_string,missing_values,low
94347,country,AUT,,missing_empty_string,missing_values,low
26218,country,FRA, ,missing_whitespace,missing_values,low
20387,country,IRL,unknown,missing_unknown_string,missing_values,low
85969,country,ESP,,missing_empty_string,missing_values,low
22300,country,PRT,N/A,missing_N/A_string,missing_values,low
77962,country,PRT,N/A,missing_N/A_string,missing_values,low
79169,country,BRA,NA,missing_NA_string,missing_values,low
365,country,PRT, ,missing_whitespace,missing_values,low
96925,country,FRA,,missing_nan,missing_values,low
6902,country,PRT,,missing_empty_string,missing_values,low
46815,country,PRT,,missing_nan,missing_values,low
88960,country,FRA,unknown,missing_unknown_string,missing_values,low
110312,country,DEU,N/A,missing_N/A_string,missing_values,low
73138,country,ITA, ,missing_whitespace,missing_values,low
6733,country,PRT,N/A,missing_N/A_string,missing_values,low
86774,country,DEU,,missing_nan,missing_values,low
22682,country,FIN,NA,missing_NA_string,missing_values,low
25979,country,FRA,,missing_nan,missing_values,low
