row_index,column,original_value,injected_value,error_type,error_family,noise_level
110654,country,SVN,unknown,missing_unknown_string,missing_values,medium
66713,country,PRT,,missing_empty_string,missing_values,medium
115315,country,BRA,NA,missing_NA_string,missing_values,medium
30783,country,PRT,NA,missing_NA_string,missing_values,medium
14764,country,GBR,,missing_nan,missing_values,medium
83042,country,PRT,unknown,missing_unknown_string,missing_values,medium
8054,country,PRT,N/A,missing_N/A_string,missing_values,medium
25860,country,PRT,NA,missing_NA_string,missing_values,medium
24038,country,FRA, ,missing_whitespace,missing_values,medium
74619,country,PRT,,missing_empty_string,missing_values,medium
104175,country,PRT, ,missing_whitespace,missing_values,medium
33356,country,ESP,unknown,missing_unknown_string,missing_values,medium
17010,country,FRA,,missing_empty_string,missing_values,medium
53470,country,USA,unknown,missing_unknown_string,missing_values,medium
105702,country,GBR,unknown,missing_unknown_string,missing_values,medium
16721,country,IRL,NA,missing_NA_string,missing_values,medium
8568,country,GBR,NA,missing_NA_string,missing_values,medium
1551,country,GBR, ,missing_whitespace,missing_values,medium
92436,country,GBR,,missing_nan,missing_values,medium
112044,country,CN,,missing_nan,missing_values,medium
33693,country,ESP,N/A,missing_N/A_string,missing_values,medium
71797,country,PRT, ,missing_whitespace,missing_values,medium
110341,country,FRA,N/A,missing_N/A_string,missing_values,medium
8091,country,BRA,,missing_nan,missing_values,medium
9130,country,GBR,N/A,missing_N/A_string,missing_values,medium
58688,country,PRT,,missing_empty_string,missing_values,medium
86125,country,PRT,unknown,missing_unknown_string,missing_values,medium
68900,country,USA,N/A,missing_N/A_string,missing_values,medium
22663,country,CN,NA,missing_NA_string,missing_values,medium
46241,country,ESP,N/A,missing_N/A_string,missing_values,medium
56725,country,PRT,unknown,missing_unknown_string,missing_values,medium
4899,country,PRT,unknown,missing_unknown_string,missing_values,medium
89470,country,PRT,NA,missing_NA_string,missing_values,medium
49223,country,ESP,N/A,missing_N/A_string,missing_values,medium
54481,country,ESP,,missing_nan,missing_values,medium
48986,country,PRT,NA,missing_NA_string,missing_values,medium
25686,country,USA,NA,missing_NA_string,missing_values,medium
37302,country,PRT,N/A,missing_N/A_string,missing_values,medium
97646,country,FRA, ,missing_whitespace,missing_values,medium
70089,country,PRT, ,missing_whitespace,missing_values,medium
82909,country,PRT,NA,missing_NA_string,missing_values,medium
39597,country,PRT,N/A,missing_N/A_string,missing_values,medium
57107,country,PRT,,missing_nan,missing_values,medium
71745,country,ESP,NA,missing_NA_string,missing_values,medium
117913,country,POL,unknown,missing_unknown_string,missing_values,medium
6133,country,GBR,unknown,missing_unknown_string,missing_values,medium
18054,country,PRT, ,missing_whitespace,missing_values,medium
28400,country,ESP,NA,missing_NA_string,missing_values,medium
50682,country,FRA, ,missing_whitespace,missing_values,medium
4007,country,PRT, ,missing_whitespace,missing_values,medium
95909,country,DEU,N/A,missing_N/A_string,missing_values,medium
87734,country,FRA,,missing_nan,missing_values,medium
40332,country,PRT,NA,missing_NA_string,missing_values,medium
15881,country,IRL,unknown,missing_unknown_string,missing_values,medium
85895,country,GBR,N/A,missing_N/A_string,missing_values,medium
63893,country,LUX, ,missing_whitespace,missing_values,medium
67433,country,JPN,unknown,missing_unknown_string,missing_values,medium
74475,country,PRT,,missing_nan,missing_values,medium
115864,country,DEU, ,missing_whitespace,missing_values,medium
89882,country,DEU,NA,missing_NA_string,missing_values,medium
103789,country,FRA,unknown,missing_unknown_string,missing_values,medium
70486,country,PRT,N/A,missing_N/A_string,missing_values,medium
68372,country,PRT,NA,missing_NA_string,missing_values,medium
42336,country,PRT,,missing_nan,missing_values,medium
61044,country,FRA,,missing_nan,missing_values,medium
25783,country,BEL,N/A,missing_N/A_string,missing_values,medium
2224,country,PRT,N/A,missing_N/A_string,missing_values,medium
59421,country,PRT,N/A,missing_N/A_string,missing_values,medium
24533,country,IRL,,missing_nan,missing_values,medium
28765,country,GBR,N/A,missing_N/A_string,missing_values,medium
115408,country,DEU,,missing_nan,missing_values,medium
26809,country,PRT,,missing_nan,missing_values,medium
64221,country,PRT,NA,missing_NA_string,missing_values,medium
33271,country,PRT,N/A,missing_N/A_string,missing_values,medium
91837,country,GBR,N/A,missing_N/A_string,missing_values,medium
26642,country,ESP, ,missing_whitespace,missing_values,medium
68873,country,IRL, ,missing_whitespace,missing_values,medium
106718,country,DEU,NA,missing_NA_string,missing_values,medium
12262,country,SWE,unknown,missing_unknown_string,missing_values,medium
4939,country,GBR,,missing_nan,missing_values,medium
115479,country,GBR, ,missing_whitespace,missing_values,medium
94355,country,DEU,NA,missing_NA_string,missing_values,medium
69232,country,DEU,unknown,missing_unknown_string,missing_values,medium
87885,country,TUN, ,missing_whitespace,missing_values,medium
78452,country,DEU,unknown,missing_unknown_string,missing_values,medium
117291,country,NLD, ,missing_whitespace,missing_values,medium
53818,country,PRT,,missing_nan,missing_values,medium
18206,country,CHL,,missing_empty_string,missing_values,medium
51309,country,PRT,N/A,missing_N/A_string,missing_values,medium
60383,country,PRT,N/A,missing_N/A_string,missing_values,medium
33438,country,FIN,,missing_nan,missing_values,medium
32514,country,ESP,unknown,missing_unknown_string,missing_values,medium
88397,country,PRT,,missing_nan,missing_values,medium
80320,country,PRT, ,missing_whitespace,missing_values,medium
112517,country,FRA,,missing_nan,missing_values,medium
1003,country,PRT,NA,missing_NA_string,missing_values,medium
75512,country,PRT,unknown,missing_unknown_string,missing_values,medium
50091,country,PRT,N/A,missing_N/A_string,missing_values,medium
57330,country,CHN,unknown,missing_unknown_string,missing_values,medium
31501,country,IRL,unknown,missing_unknown_string,missing_values,medium
115017,country,FRA, ,missing_whitespace,missing_values,medium
110091,country,USA,NA,missing_NA_string,missing_values,medium
85598,country,FRA, ,missing_whitespace,missing_values,medium
