hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resortt Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,BB,N/A,Direct,Direct,0,0,0,C,C,3,No Deposit,N/A,,0,Transient,1638.74,0,0,Check-Out,2015/07/01
Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,24,BB, ,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,TRAnsient,0.0,0,0,Check-Out,2015/07/01
Resort Hotel,0,7,2015,July,27,1,0,558,1,unknown,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No  Deposit,NA,,0,  Transient ,75.0,0,0,Check-Out,2015-07-02
Resort Hotel,0,13O,2015,July,27,1,0,1,1,0.0,0,,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0,Transient,75.0,0,0,Check-Out,07/02/2015
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,"July 03, 2015"
Resort Hotel,0,14O,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,98.0,0,1,Check-Out,2015-07-03
Resort Hotel,0,0,2015,July,27,1,0,2,2,unknown,0,unknown,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,9,2015,July,27,1,0,2,2,unknown,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,,0,Transient,103.0,0,1,Check-Out,2015-07-03
Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Trransient,82.0,0,1,Canceled,2015-05-06
Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Trasnient,105.5,0,0,Canceled,2015-04-22
Resort Hotel,1,23,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Canceled,2015-06-23
Resort Hotel,0,35O,2015,July,27,1,0,4,2,,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,145.0,0,0,Check-Out,05-Jul-2015
Resort Hotel,0,68,2015,July,27,1,0,237,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,97.0,0,3,Check-Out,2015-07-05
Resort Hotel,0,18,2015,July,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,,0,Transient,154.77,0,1,Check-Out,2015-07-05
Resort Hotel,0,37B,2015,July,27,1,0,4,2,N/A,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,,,0,Transient,94.71,0,0,Check-Out,2015-07-05
Resort Hotel,0,6B8,2015,July,27,1,0,4,2l,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,NO deposit,unknown,,3975,Transient,97.0,0,3,Check-Out,2015-07-05
Resort Hotel,0,37,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposiit,NA,,0,Contract,97.5,0,0,Check-Out,2015-07-05
Resort Hotel,0,12,2015,July,27,1,0,1,2,0.0,0,,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Tarnsient,88.2,0,0,Check-Out,2015-07-02
Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,,Corporate,0,0,0,A,G,0,No Deposit,,110.0,0,Transient,107.42,0,0,Check-Out,"July 02, 2015"
Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,8483,Transient,153.0,0,1,Check-Out,2015-07-05
Resort Hotel,0,37,2015,July,27,1,1,4,1O,unknown,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,97.29,0,1,Check-Out,2015-07-06
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,N/A,PRT,,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transietn,84.67,0,1,Check-Out,2015-07-07
Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,TRANSIent,84.67,0,1,Check-Out,2015-07-07
Resort Hotel,0,72,2015,July,27,1,2,4,2S,0.0,0,,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,99.67,0,1,Check-Out,07/07/2015
Resort Hotel,0,127,2015,July,27,1,2,5,2,,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,,0,Contract,94.95,0,1,Check-Out,2015-07-01
Resort Hotel,0,78,2015,July,27,1,2,5,2,0.0,0,unknown,N/A,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,63.6,1,0,Check-Out,1436313600
Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,unknown,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,2015-07-08
Resort Hotel,1,60,2015,July,27,1,2,5,2, ,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,N/A,,0,Transient,107.0,0,2,Canceled,2015-05-11
Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transiennt,94.0,0,0,Check-Out,2015-07-08
Resort Hotel,0,99,2015,July,27,1,2,5,2l,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,N oDeposit,240.0,,0,Transient,87.3,1,1,Check-Out,2015-07-08
Resort Hotel,0,118,2015,July,27,1,4,10,1j,0.0,42,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62.0,0,2,Check-Out,2015-07-15
Resort Hotel,0,95€,2015,July,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,63.86,0,0,Check-Out,2015-07-16
