row_index,column,error_family,error_type,valeur_originale,valeur_bruitee_vue_par_llm,valeur_produite_par_llm,statut
50,sched_dep_time,missing_values,real_missing_value,7:10 a.m.,,7:10 a.m.,Corrigé
52,sched_dep_time,missing_values,real_missing_value,6:40 a.m.,,6:40 a.m.,Corrigé
53,sched_dep_time,missing_values,real_missing_value,8:00 a.m.,,8:00 a.m.,Corrigé
54,sched_dep_time,missing_values,real_missing_value,8:41 a.m.,,8:41 a.m.,Corrigé
55,sched_dep_time,missing_values,real_missing_value,7:45 p.m.,,7:45 p.m.,Corrigé
56,sched_dep_time,missing_values,real_missing_value,3:27 p.m.,,3:27 p.m.,Corrigé
58,sched_dep_time,missing_values,real_missing_value,11:25 a.m.,,11:25 a.m.,Corrigé
59,sched_dep_time,missing_values,real_missing_value,10:39 a.m.,,10:39 a.m.,Corrigé
60,sched_dep_time,missing_values,real_missing_value,11:25 p.m.,,11:25 p.m.,Corrigé
61,sched_dep_time,missing_values,real_missing_value,6:00 a.m.,,6:00 a.m.,Corrigé
63,sched_dep_time,missing_values,real_missing_value,4:00 p.m.,,4:00 p.m.,Corrigé
66,sched_dep_time,missing_values,real_missing_value,9:05 a.m.,,9:05 a.m.,Corrigé
67,sched_dep_time,missing_values,real_missing_value,8:15 a.m.,,8:15 a.m.,Corrigé
68,sched_dep_time,missing_values,real_missing_value,7:00 a.m.,,7:00 a.m.,Corrigé
69,sched_dep_time,missing_values,real_missing_value,4:15 p.m.,,4:15 p.m.,Corrigé
70,sched_dep_time,missing_values,real_missing_value,10:45 a.m.,,10:45 a.m.,Corrigé
73,sched_dep_time,missing_values,real_missing_value,2:55 p.m.,,2:55 p.m.,Corrigé
74,sched_dep_time,missing_values,real_missing_value,11:50 a.m.,,11:50 a.m.,Corrigé
76,sched_dep_time,missing_values,real_missing_value,6:00 a.m.,,6:00 a.m.,Corrigé
77,sched_dep_time,missing_values,real_missing_value,11:05 a.m.,,11:05 a.m.,Corrigé
80,sched_dep_time,missing_values,real_missing_value,10:15 a.m.,,10:15 a.m.,Corrigé
81,sched_dep_time,missing_values,real_missing_value,1:00 p.m.,,1:00 p.m.,Corrigé
82,sched_dep_time,missing_values,real_missing_value,7:53 a.m.,,7:53 a.m.,Corrigé
83,sched_dep_time,missing_values,real_missing_value,12:30 p.m.,,12:30 p.m.,Corrigé
84,sched_dep_time,missing_values,real_missing_value,11:45 a.m.,,11:45 a.m.,Corrigé
85,sched_dep_time,missing_values,real_missing_value,2:30 p.m.,,2:30 p.m.,Corrigé
86,sched_dep_time,missing_values,real_missing_value,12:00 a.m.,,12:00 p.m.,Mal corrigé (valeur différente mais fausse)
89,sched_dep_time,missing_values,real_missing_value,10:40 a.m.,,10:40 a.m.,Corrigé
90,sched_dep_time,missing_values,real_missing_value,12:57 p.m.,,12:57 p.m.,Corrigé
92,sched_dep_time,missing_values,real_missing_value,7:15 a.m.,,7:15 a.m.,Corrigé
93,sched_dep_time,missing_values,real_missing_value,6:30 p.m.,,6:30 p.m.,Corrigé
94,sched_dep_time,missing_values,real_missing_value,6:45 p.m.,,6:45 p.m.,Corrigé
95,sched_dep_time,missing_values,real_missing_value,12:00 p.m.,,12:00 p.m.,Corrigé
97,sched_dep_time,missing_values,real_missing_value,1:55 p.m.,,1:55 p.m.,Corrigé
99,sched_dep_time,missing_values,real_missing_value,6:00 a.m.,,6:00 a.m.,Corrigé
100,sched_dep_time,missing_values,real_missing_value,7:10 a.m.,,7:10 a.m.,Corrigé
101,sched_dep_time,missing_values,real_missing_value,4:55 p.m.,,4:55 p.m.,Corrigé
102,sched_dep_time,missing_values,real_missing_value,7:25 a.m.,,7:25 a.m.,Corrigé
103,sched_dep_time,missing_values,real_missing_value,3:50 p.m.,,3:50 p.m.,Corrigé
104,sched_dep_time,missing_values,real_missing_value,4:16 p.m.,,4:16 p.m.,Corrigé
105,sched_dep_time,missing_values,real_missing_value,8:00 p.m.,,8:00 p.m.,Corrigé
107,sched_dep_time,missing_values,real_missing_value,7:05 a.m.,,7:05 a.m.,Corrigé
108,sched_dep_time,missing_values,real_missing_value,10:40 a.m.,,10:40 a.m.,Corrigé
109,sched_dep_time,missing_values,real_missing_value,1:33 p.m.,,1:33 p.m.,Corrigé
110,sched_dep_time,missing_values,real_missing_value,12:15 p.m.,,12:15 p.m.,Corrigé
112,sched_dep_time,missing_values,real_missing_value,11:55 p.m.,,11:55 p.m.,Corrigé
113,sched_dep_time,missing_values,real_missing_value,4:25 p.m.,,4:25 p.m.,Corrigé
114,sched_dep_time,missing_values,real_missing_value,9:00 p.m.,,9:00 p.m.,Corrigé
115,sched_dep_time,missing_values,real_missing_value,8:25 p.m.,,8:25 p.m.,Corrigé
116,sched_dep_time,missing_values,real_missing_value,6:59 a.m.,,6:59 a.m.,Corrigé
117,sched_dep_time,missing_values,real_missing_value,8:35 a.m.,,8:35 a.m.,Corrigé
118,sched_dep_time,missing_values,real_missing_value,8:29 a.m.,,8:29 a.m.,Corrigé
119,sched_dep_time,missing_values,real_missing_value,1:30 p.m.,,1:30 p.m.,Corrigé
121,sched_dep_time,missing_values,real_missing_value,7:35 a.m.,,7:35 a.m.,Corrigé
123,sched_dep_time,missing_values,real_missing_value,5:30 p.m.,,5:30 p.m.,Corrigé
124,sched_dep_time,missing_values,real_missing_value,1:45 p.m.,,1:45 p.m.,Corrigé
125,sched_dep_time,missing_values,real_missing_value,11:15 a.m.,,11:15 a.m.,Corrigé
126,sched_dep_time,missing_values,real_missing_value,8:20 p.m.,,8:20 p.m.,Corrigé
127,sched_dep_time,missing_values,real_missing_value,2:55 p.m.,,2:55 p.m.,Corrigé
130,sched_dep_time,missing_values,real_missing_value,2:35 p.m.,,2:35 p.m.,Corrigé
131,sched_dep_time,missing_values,real_missing_value,2:55 p.m.,,2:55 p.m.,Corrigé
132,sched_dep_time,missing_values,real_missing_value,7:15 a.m.,,7:15 a.m.,Corrigé
133,sched_dep_time,missing_values,real_missing_value,12:10 p.m.,,12:10 p.m.,Corrigé
134,sched_dep_time,missing_values,real_missing_value,7:55 a.m.,,7:55 a.m.,Corrigé
135,sched_dep_time,real_world_error,real_dirty_value,9:05 a.m.,9:05 a.m. (-00:00),9:05 a.m.,Corrigé
136,sched_dep_time,missing_values,real_missing_value,1:05 p.m.,,1:05 p.m.,Corrigé
137,sched_dep_time,missing_values,real_missing_value,8:35 a.m.,,8:35 a.m.,Corrigé
138,sched_dep_time,missing_values,real_missing_value,3:05 p.m.,,3:05 p.m.,Corrigé
139,sched_dep_time,missing_values,real_missing_value,7:30 a.m.,,7:30 a.m.,Corrigé
140,sched_dep_time,missing_values,real_missing_value,4:00 p.m.,,4:00 p.m.,Corrigé
141,sched_dep_time,missing_values,real_missing_value,11:35 a.m.,,11:35 a.m.,Corrigé
143,sched_dep_time,missing_values,real_missing_value,11:55 a.m.,,11:55 a.m.,Corrigé
144,sched_dep_time,missing_values,real_missing_value,10:40 a.m.,,10:40 a.m.,Corrigé
145,sched_dep_time,missing_values,real_missing_value,6:45 a.m.,,6:45 a.m.,Corrigé
147,sched_dep_time,missing_values,real_missing_value,6:00 a.m.,,6:00 a.m.,Corrigé
148,sched_dep_time,missing_values,real_missing_value,7:10 a.m.,,7:10 a.m.,Corrigé
149,sched_dep_time,missing_values,real_missing_value,7:10 a.m.,,7:10 a.m.,Corrigé
151,sched_dep_time,missing_values,real_missing_value,7:00 p.m.,,7:00 p.m.,Corrigé
154,sched_dep_time,missing_values,real_missing_value,8:41 a.m.,,8:41 a.m.,Corrigé
158,sched_dep_time,missing_values,real_missing_value,11:25 a.m.,,11:25 a.m.,Corrigé
159,sched_dep_time,missing_values,real_missing_value,10:39 a.m.,,10:39 a.m.,Corrigé
161,sched_dep_time,missing_values,real_missing_value,6:00 a.m.,,6:00 a.m.,Corrigé
162,sched_dep_time,missing_values,real_missing_value,12:30 a.m.,,12:30 a.m.,Corrigé
164,sched_dep_time,missing_values,real_missing_value,7:35 a.m.,,7:35 a.m.,Corrigé
165,sched_dep_time,missing_values,real_missing_value,9:45 a.m.,,9:45 a.m.,Corrigé
167,sched_dep_time,missing_values,real_missing_value,8:15 a.m.,,8:15 a.m.,Corrigé
170,sched_dep_time,missing_values,real_missing_value,10:45 a.m.,,10:45 a.m.,Corrigé
171,sched_dep_time,missing_values,real_missing_value,2:30 p.m.,,2:30 p.m.,Corrigé
172,sched_dep_time,missing_values,real_missing_value,8:05 a.m.,,8:05 a.m.,Corrigé
173,sched_dep_time,missing_values,real_missing_value,2:55 p.m.,,2:55 p.m.,Corrigé
175,sched_dep_time,missing_values,real_missing_value,11:40 a.m.,,11:40 a.m.,Corrigé
