row_index,column,error_family,error_type,valeur_originale,valeur_bruitee_vue_par_llm,valeur_produite_par_llm,statut
13,provider_number,real_world_error,real_dirty_value,10019,1xx19,10019,Corrigé
45,provider_number,real_world_error,real_dirty_value,10005,x0005,10005,Corrigé
81,provider_number,real_world_error,real_dirty_value,10006,1000x,10006,Corrigé
213,provider_number,real_world_error,real_dirty_value,10011,x00xx,10011,Corrigé
244,provider_number,real_world_error,real_dirty_value,10015,x00x5,10015,Corrigé
253,provider_number,real_world_error,real_dirty_value,10015,1xx15,10015,Corrigé
273,provider_number,real_world_error,real_dirty_value,10016,1xx16,10016,Corrigé
314,provider_number,real_world_error,real_dirty_value,10038,100x8,10038,Corrigé
360,provider_number,real_world_error,real_dirty_value,10086,100x6,10086,Corrigé
408,provider_number,real_world_error,real_dirty_value,10108,x0x08,10108,Corrigé
559,provider_number,real_world_error,real_dirty_value,10024,1xx24,10024,Corrigé
608,provider_number,real_world_error,real_dirty_value,10027,x0027,10027,Corrigé
627,provider_number,real_world_error,real_dirty_value,10029,x0029,10029,Corrigé
639,provider_number,real_world_error,real_dirty_value,10029,1xx29,10029,Corrigé
645,provider_number,real_world_error,real_dirty_value,10032,1xx32,10032,Corrigé
655,provider_number,real_world_error,real_dirty_value,10032,1xx32,10032,Corrigé
704,provider_number,real_world_error,real_dirty_value,10034,100x4,10034,Corrigé
721,provider_number,real_world_error,real_dirty_value,10035,100x5,10035,Corrigé
724,provider_number,real_world_error,real_dirty_value,10035,1xx35,10035,Corrigé
755,provider_number,real_world_error,real_dirty_value,10036,1xx36,10036,Corrigé
780,provider_number,real_world_error,real_dirty_value,10039,1003x,10039,Corrigé
789,provider_number,real_world_error,real_dirty_value,10039,1xx39,10039,Corrigé
793,provider_number,real_world_error,real_dirty_value,10039,100x9,10039,Corrigé
859,provider_number,real_world_error,real_dirty_value,10044,1xx44,10044,Corrigé
878,provider_number,real_world_error,real_dirty_value,10045,1xx45,10045,Corrigé
