index,provider_number,name,address_1,address_2,address_3,city,state,zip,county,phone,type,owner,emergency_service,condition,measure_code,measure_name,score,sample,state_average
1,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,96.0,58.0,al_scip-card-2
2,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96.0,58.0,al_scip-inf-1
3,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,96.0,58.0,al_scip-inf-2
4,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birminghxm,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96.0,58.0,al_scip-inf-3
5,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96.0,58.0,al_scip-inf-4
6,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),96.0,58.0,al_scip-inf-6
7,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingham,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,96.0,58.0,al_scip-vte-1
8,10018,Callahan Eye Foundation Hospital,1720 university blvd,empty,empty,Birmingxam,al,35233,Jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,96.0,58.0,al_scip-vte-2
9,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,empty,empty,Sheffield,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97.0,33.0,al_ami-1
10,10019,Helen Keller Memorial Hospital,1300 south montgomery avenue,empty,empty,Sheffield,al,35660,Jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92.0,13.0,al_ami-2
