hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resoort Hotel,0,342.0,2015,July,27,1,0,0,2,0.0,0,BB,,Direct,Direct,0,0,0,C,C,3,No Deposit,14.0,40.0,0.0,Transient,0.0,0,0,Check-Out,
Resort Hotel,0,16.0,2015,July,27,1,0,543,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,250.0,40.0,0.0,Transient,0.0,0,0,Check-Out,2015-07-01
Resort Hotel,0,7.0,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,Nod Eposit,14.0,40.0,0.0,Transient,75.0,0,0,Check-Out,2015-07-02
Resort Hotel,0,13.0,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,40.0,0.0,Transient,75.0,0,0,Check-Out,2015-07-02
Resort Hotel,0,14.0,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online Ta,Ta/To,0,0,0,A,A,0,No Deposit,9.0,40.0,0.0,Transient,98.0,0,1,Check-Out,2015-07-03
Resort Hotel,0,14.0,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online Ta,Ta/To,0,0,0,A,A,0,No Deposit,9.0,40.0,0.0,Transient,98.0,0,1,Check-Out,2015-07-03
Resort Hotel,0,16.0,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,40.0,0.0,Transient,107.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,9.0,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,40.0,0.0,Transient,103.0,0,1,Check-Out,2015-07-03
Resort Hotel,1,85.0,2015,July,27,1,0,3,2,0.0,0,BB,PRT,Online Ta,Ta/To,0,0,0,A,A,0,No Deposit,240.0,40.0,0.0,Transient,82.0,0,1,Canceled,2015-05-06
Resort Hotel,1,75.0,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline Ta/To,Ta/To,0,0,0,D,D,0,No Deposit,15.0,40.0,0.0,Transient,105.5,0,0,Canceled,2015-04-22
