hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,342.0,2015,July,27,1,0,0,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,9.0,179.0,0,Transient,0.0,0,0,Check-Out,2015-07-01
Resort Hotel,0,737.0,2015,July,27,1,0,543,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,9.0,179.0,0,Transient,0.0,0,0,Check-Out,2015-07-01
Resort Hotel,0,7.0,2015,July,27,1,0,1,1.0,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,9.0,179.0,0,Transient,75.0,0,0,Check-Out,2015-07-02
Resort Hotel,0,13.0,2015,July,27,1,0,1,1.0,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,179.0,0,Transient,75.0,0,0,Check-Out,2015-07-02
Resort Hotel,0,14.0,2015,July,27,1,0,2,2.0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,98.0,0,1,Check-Out,2015-07-03
Resort Hotel,0,14.0,2015,July,27,1,0,2,2.0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,179.0,0,Transient,98.0,0,1,Check-Out,2015-07-03
Resort Hotel,0,0.0,2015,July,27,1,0,2,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,9.0,179.0,0,Transient,107.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,9.0,2015,July,27,1,0,2,2.0,0.0,0,Undefined,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,179.0,0,Transient,103.0,0,1,Check-Out,2015-07-03
Resort Hotel,1,85.0,2015,July,27,1,0,3,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,179.0,0,Transient,82.0,0,1,Canceled,2015-05-06
Resort Hotel,1,75.0,2015,July,27,1,0,3,2.0,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,179.0,0,Transient,105.5,0,0,Canceled,2015-04-22
Resort Hotel,1,23.0,2015,July,27,1,0,4,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,179.0,0,Transient,123.0,0,0,Canceled,2015-06-23
Resort Hotel,0,35.0,2015,July,27,1,0,4,2.0,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,179.0,0,Transient,145.0,0,0,Check-Out,2015-07-05
Resort Hotel,0,68.0,2015,July,27,1,0,4,2.0,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,NO DEPOsit,240.0,179.0,0,Transient,97.0,0,3,Check-Out,2015-07-05
Resort Hotel,0,18.0,2015,July,27,1,0,4,2.0,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,179.0,0,Transient,154.77,0,1,Check-Out,2015-07-05
Resort Hotel,0,37.0,2015,July,27,1,0,4,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,179.0,0,Transient,94.71,0,0,Check-Out,2015-07-05
Resort Hotel,0,68.0,2015,July,27,1,0,4,2.0,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,179.0,0,Transient,97.0,0,3,Check-Out,2015-07-05
Resort Hotel,0,37.0,2015,July,27,1,0,4,2.0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,179.0,0,Contract,97.5,0,0,Check-Out,2015-07-05
Resort Hotel,0,12.0,2015,July,27,1,0,1,2.0,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,179.0,0,Transiet,88.2,0,0,Check-Out,2015-07-02
Resort Hotel,0,0.0,2015,July,27,1,0,1,2.0,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,9.0,110.0,0,Transient,107.42,0,0,Check-Out,2015-07-02
Resort Hotel,0,7.0,2015,July,27,1,0,4,2.0,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,179.0,0,Transient,153.0,0,1,Check-Out,2015-07-05
Resort Hotel,0,37.0,2015,July,27,1,1,4,1.0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,179.0,0,Transient,97.29,0,1,Check-Out,2015-07-06
Resort Hotel,0,72.0,2015,July,27,1,2,4,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,179.0,0,Transient,84.67,0,1,Check-Out,2015-07-07
Resort Hotel,0,72.0,2015,July,27,1,2,4,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,179.0,0,Transient,84.67,0,1,Check-Out,2015-07-07
Resort Hotel,0,72.0,2015,July,27,1,2,4,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,9.0,179.0,0,Transient,99.67,0,1,Check-Out,2015-07-07
Resort Hotel,0,127.0,2015,July,27,1,2,5,2.0,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,179.0,0,Contract,94.95,0,1,Check-Out,2015-07-01
Resort Hotel,0,78.0,2015,July,27,1,2,5,2.0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,179.0,0,Transient,63.6,1,0,Check-Out,2015-07-08
Resort Hotel,0,48.0,2015,July,27,1,2,5,2.0,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,179.0,0,Contract,79.5,0,0,Check-Out,2015-07-08
Resort Hotel,1,60.0,2015,July,27,1,2,5,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,179.0,0,Transient,107.0,0,2,Canceled,2015-05-11
Resort Hotel,0,77.0,2015,July,27,1,2,5,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,179.0,0,Transient,94.0,0,0,Check-Out,2015-07-08
Resort Hotel,0,99.0,2015,July,27,1,2,5,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,179.0,0,Transient,87.3,1,1,Check-Out,2015-07-08
Resort Hotel,0,118.0,2015,July,27,1,4,10,1.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,9.0,179.0,5567,Transiet,62.0,0,2,Check-Out,2015-07-15
Resort Hotel,0,95.0,2015,July,27,1,4,11,2.0,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,179.0,0,Transient,63.86,0,0,Check-Out,2015-07-16
Resort Hotel,1,96.0,2015,July,27,1,2,8,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,9.0,179.0,0,Transient,108.3,0,2,Canceled,2015-05-29
Resort Hotel,0,69.0,2015,July,27,2,2,4,2.0,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175.0,179.0,0,Transient,65.5,0,0,Check-Out,2015-07-08
Resort Hotel,1,45.0,2015,July,27,2,1,3,3.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,179.0,0,Transient,108.8,0,1,Canceled,2015-10-21
Resort Hotel,1,40.0,2015,July,27,2,1,3,3.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,179.0,0,Transient,108.8,0,1,Canceled,2015-06-19
Resort Hotel,0,15.0,2015,July,27,2,1,3,2.0,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,179.0,0,Transient,98.0,0,0,Check-Out,2015-07-06
Resort Hotel,0,36.0,2015,July,27,2,1,3,3.0,0.0,18,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,179.0,0,Transient,108.8,0,1,Check-Out,2015-07-06
Resort Hotel,1,43.0,2015,July,27,2,1,599,3.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,179.0,0,Transient,108.8,0,0,Canceled,2015-05-23
Resort Hotel,0,70.0,2015,July,27,2,2,3,2.0,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,179.0,0,Transient,137.0,0,1,Check-Out,2015-07-07
Resort Hotel,1,45.0,2015,July,27,2,2,3,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,179.0,0,Transient,117.81,0,0,Canceled,2015-05-18
Resort Hotel,0,45.0,2015,July,27,2,2,3,2.0,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,179.0,0,Contract,79.5,0,0,Check-Out,2015-07-07
Resort Hotel,0,16.0,2015,July,27,2,2,3,2.0,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,9.0,179.0,0,Transient,123.0,0,0,Check-Out,2015-07-07
Resort Hotel,0,70.0,2015,July,27,2,2,3,2.0,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,179.0,0,Transient,137.0,0,1,Check-Out,2015-07-07
Resort Hotel,0,107.0,2015,July,27,2,2,5,2.0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,179.0,0,Transient,110.7,0,2,Check-Out,2015-10-21
Resort Hotel,1,47.0,2015,July,27,2,2,5,2.0,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,179.0,0,Transient,153.0,0,0,Canceled,2015-06-02
Resort Hotel,0,96.0,2015,July,27,2,2,5,2.0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,179.0,0,Transient,58.95,0,1,Check-Out,2015-10-21
Resort Hotel,0,113.0,2015,July,27,2,2,5,2.0,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,179.0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09
Resort Hotel,0,90.0,2015,July,27,2,2,5,2.0,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243.0,179.0,0,Contract,82.35,0,0,Check-Out,2015-07-09
Resort Hotel,0,50.0,2015,July,27,2,2,5,2.0,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,179.0,0,Transient,119.35,0,1,Check-Out,2015-07-09
Resort Hotel,0,113.0,2015,July,27,2,2,5,2.0,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,179.0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09
Resort Hotel,0,93.0,2015,July,27,2,3,8,2.0,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,179.0,0,Contract,56.01,0,0,Check-Out,2015-07-13
Resort Hotel,0,76.0,2015,July,27,2,4,10,2.0,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,179.0,0,Contract,110.7,0,0,Check-Out,2015-07-16
Resort Hotel,0,3.0,2015,July,27,2,0,241,2.0,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,179.0,0,Transient,88.2,1,0,Check-Out,2015-07-03
Resort Hotel,0,1.0,2015,July,27,2,0,1,2.0,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,179.0,0,Transient,147.0,1,0,Check-Out,2015-07-03
Resort Hotel,0,1.0,2015,July,27,2,0,1,2.0,0.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,9.0,179.0,0,Transient,107.0,1,2,Check-Out,2015-07-03
Resort Hotel,0,0.0,2015,July,27,2,0,1,2.0,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,9.0,179.0,0,Transient,147.0,0,0,Check-Out,2015-07-03
